01 02 03 04 11 18 30
01 02 03 04 11 19 24
01 02 03 04 23 27 34
01 02 03 05 08 15 19
01 02 03 05 14 16 25
01 02 03 05 15 34 37
01 02 03 06 08 36 41
01 02 03 06 12 20 41
01 02 03 08 17 22 39
01 02 03 08 27 45 49
01 02 03 09 11 40 41
01 02 03 09 13 36 40
01 02 03 09 13 47 49
01 02 03 09 18 27 35
01 02 03 10 13 20 47
01 02 03 10 13 41 42
01 02 03 10 28 30 44
01 02 03 11 12 16 39
01 02 03 11 13 26 27
01 02 03 11 15 43 45
01 02 03 11 24 29 31
01 02 03 11 31 32 49
01 02 03 13 18 42 50
01 02 03 14 16 28 48
01 02 03 14 17 19 41
01 02 03 14 25 28 49
01 02 03 14 33 45 46
01 02 03 15 21 28 34
01 02 03 15 22 37 41
01 02 03 15 32 36 41
01 02 03 17 24 35 36
01 02 03 21 34 38 44
01 02 03 21 39 48 49
01 02 03 23 33 41 46
01 02 03 24 26 31 48
01 02 03 25 34 44 50
01 02 04 05 18 20 34
01 02 04 06 07 15 36
01 02 04 06 08 17 37
01 02 04 06 13 21 33
01 02 04 06 24 26 45
01 02 04 06 27 31 47
01 02 04 07 09 25 42
01 02 04 08 32 36 44
01 02 04 09 10 34 36
01 02 04 10 19 43 49
01 02 04 10 25 31 33
01 02 04 10 27 33 45
01 02 04 11 14 29 50
01 02 04 11 16 17 46
01 02 04 11 21 36 37
01 02 04 11 21 43 47
01 02 04 11 30 32 34
01 02 04 12 42 43 45
01 02 04 13 16 24 38
01 02 04 13 21 30 41
01 02 04 13 31 34 38
01 02 04 14 15 20 28
01 02 04 15 20 34 44
01 02 04 15 30 42 47
01 02 04 16 17 20 36
01 02 04 16 43 45 48
01 02 04 18 28 33 37
01 02 04 20 39 48 49
01 02 04 21 23 35 40
01 02 04 22 35 39 50
01 02 05 06 07 20 33
01 02 05 06 14 34 38
01 02 05 06 16 30 45
01 02 05 06 21 23 25
01 02 05 06 38 39 46
01 02 05 07 08 09 46
01 02 05 07 20 29 31
01 02 05 08 18 23 46
01 02 05 08 19 20 21
01 02 05 08 21 25 40
01 02 05 09 16 29 31
01 02 05 09 16 45 46
01 02 05 09 28 47 49
01 02 05 10 11 25 34
01 02 05 10 13 35 45
