2 13 26 32 36 39 40
14 15 29 34 37 43 44
8 16 18 19 20 33 49
1 5 23 25 30 42 50
3 9 12 22 24 41 45
4 7 17 31 35 38 48
6 10 11 21 27 46 47
* 2 4 13 28 30 39 47
12 18 22 29 39 46 50
3 11 13 21 34 42 48
5 9 15 24 28 30 43
7 19 20 27 31 33 36
6 10 17 38 44 45 47
1 14 16 25 32 35 40
2 4 23 26 37 41 49
* 8 10 19 27 29 30 50
3 10 15 17 24 36 47
5 14 18 25 42 45 46
1 2 26 27 31 38 44
9 12 21 23 40 41 43
4 8 13 33 35 37 39
6 7 16 19 28 34 50
11 20 22 29 30 48 49
* 11 12 25 28 29 32 39
10 12 13 22 27 33 41
4 5 17 23 25 31 44
7 9 11 28 36 42 48
14 20 29 30 35 37 45
2 8 21 32 34 43 49
1 3 18 26 38 47 50
6 15 16 19 24 39 46
* 1 9 12 31 38 40 41
10 11 15 17 20 30 38
12 13 14 16 28 29 45
9 21 25 33 35 42 48
